"musicbrainz_recording_id","artist","track","album","musicbrainz_artist","final_tags"
cc340f53-182f-475d-b768-09a2b03d4f8c,Shawn Mendes,Lost in Japan,Shawn Mendes,Shawn Mendes,"[""pop"", ""blues-r&b-soul""]"
cca61302-f693-4169-8edf-9f09de6abe50,Beyoncé,Formation,Lemonade,Beyoncé,"[""blues-r&b-soul"", ""hip_hop-rap""]"
ccbfb87d-ca92-461c-a8e3-a530e165e60b,Lana Del Rey,Doin' Time,Norman Fucking Rockwell!,Lana Del Rey,"[""electronic-funk-disco-dance"", ""pop""]"
ccc344a6-3b10-4eb4-9140-fddefc4b9a92,Shawn Mendes,Lights On,Illuminate,Shawn Mendes,"[""pop""]"
"30ef0a00-b07d-4f62-9b7a-465f36c771da",Chris Stapleton,Up to No Good Livin',From A Room: Volume 1,Chris Stapleton,"[""others""]"
ccededfc-afb2-4ed6-8213-b764f104da42,Chris Stapleton,Worry B Gone,Starting Over,Chris Stapleton,"[""folk-classical-country-jazz"", ""blues-r&b-soul""]"
cd0669a4-ee86-4463-bccf-782b1d0539ad,Ariana Grande,Greedy,Dangerous Woman,Ariana Grande,"[""pop""]"
cd58e92a-c124-492d-b963-ec97dc0661fa,Rihanna,Consideration,Anti,Rihanna,"[""hip_hop-rap"", ""electronic-funk-disco-dance"", ""blues-r&b-soul""]"
ce82ccad-c59d-4793-a1be-ccbb80cfceee,Travis Scott,COFFEE BEAN,ASTROWORLD,Travis Scott,"[""hip_hop-rap""]"
cf97ab0b-735f-4a29-9e97-1079c191673f,The Beatles,Love Me Do,Please Please Me,The Beatles,"[""rock-metal-psychedelic"", ""pop""]"
e7ebbb99-7346-4323-9541-dffae9e1003b,One Direction,Fool's Gold,FOUR,One Direction,"[""pop""]"
d1d5926a-8009-4117-b698-bc8c1fe10fab,The Beatles,Any Time at All,A Hard Day's Night,The Beatles,"[""rock-metal-psychedelic"", ""pop""]"
d2270461-6ac1-462c-8b92-70efdc978a0b,Radiohead,How to Disappear Completely,Kid A,Radiohead,"[""rock-metal-psychedelic""]"
"9d03535f-b6fb-48a5-972f-271863fd4d05",Tdf,Still My Patna,CULTURE,tdf,"[""others""]"
ef0bce46-b230-4995-b403-a4367f33c638,Justin Bieber,Intentions,Changes,Justin Bieber,"[""others""]"
fb7b80f0-b618-4e1f-92be-f74115b6b689,Justin Bieber,Love Yourself,Purpose,Justin Bieber,"[""pop""]"
ef7785a0-e30b-4768-96f5-d66e1efaf330,Ariana Grande,eternal sunshine,eternal sunshine,Ariana Grande,"[""hip_hop-rap"", ""pop"", ""opera-musical-theater-soundtrack-vocal-a_cappella"", ""blues-r&b-soul""]"
ef8e24e8-a91e-4d27-a382-08b11b88b981,Kendrick Lamar,Feel,DAMN.,Kendrick Lamar,"[""others""]"
efc61735-565c-4faa-9669-21e2ceb14a87,Beyoncé,MOVE,RENAISSANCE,Beyoncé,"[""electronic-funk-disco-dance"", ""pop""]"
effddc55-ed93-4de8-9a32-8e6245e1f36a,Lana Del Rey,Born to Die,Born to Die,Lana Del Rey,"[""pop"", ""opera-musical-theater-soundtrack-vocal-a_cappella""]"
"0eb581bf-7981-497e-a4fd-0493fa57ba23",Dua Lipa,Physical,Future Nostalgia,Dua Lipa,"[""pop"", ""electronic-funk-disco-dance""]"
"01b3f322-c5c4-46d3-8558-d6a69a376d4f",Demi Lovato,Hold Up,Unbroken,Demi Lovato,"[""pop"", ""electronic-funk-disco-dance""]"
"0e12be4c-bd1d-45bc-acf3-3d12dd981b60",Luke Bryan,Build Me a Daddy,Born Here Live Here Die Here,Luke Bryan,"[""folk-classical-country-jazz""]"
"1909814b-6dbc-429d-a6c8-8a1991bc18a7",Chris Stapleton,More of You,Traveller,Chris Stapleton,"[""others""]"
"0ec1bf3a-982d-41e3-95b5-ce09283512e5",Ariana Grande,MOTIVE,Positions,Ariana Grande,"[""pop"", ""blues-r&b-soul"", ""hip_hop-rap""]"
"0f5a6cbc-ac24-4b6a-8c12-907bf8f1b09a",Shawn Mendes,Bad Reputation,Illuminate,Shawn Mendes,"[""others""]"
"0f98fa93-a6fb-4d71-9f21-17e3feadf25a",Travis Scott,LOST FOREVER,UTOPIA,Travis Scott,"[""hip_hop-rap""]"
"2bf5444e-9d88-4b34-aec0-5a423b4d348a",Tdf,Rave,CULTURE,tdf,"[""others""]"
"10592ebc-737a-4027-bcf8-05b0b15e82f2",Billy Joel,Half A Mile Away,"52nd Street",Billy Joel,"[""rock-metal-psychedelic""]"
"234c6212-36e9-41f6-8244-6f3de779b094",Justin Bieber,Purpose,Purpose,Justin Bieber,"[""others""]"
"10660f7f-8023-4150-b50d-e618b46ff4de",Harry Styles,Kiwi,Harry Styles,Harry Styles,"[""rock-metal-psychedelic""]"
"107d6e57-fb5b-4eb3-990b-deb96fb4783a",Travis Scott,TELEKINESIS,UTOPIA,Travis Scott,"[""electronic-funk-disco-dance"", ""pop"", ""hip_hop-rap"", ""opera-musical-theater-soundtrack-vocal-a_cappella""]"
"10a84606-3500-4acd-8956-54b6f3477144",The Beatles,Twist and Shout,Please Please Me,The Beatles,"[""rock-metal-psychedelic""]"
"110cb105-6ba1-4d2a-82da-fdbb6ed7b9d1","50 Cent",What Up Gangsta,Get Rich or Die Tryin’,"50 Cent","[""hip_hop-rap""]"
"11a15565-9ed1-4d90-a9cb-bef712b4bd96",Beyoncé,Love Drought,Lemonade,Beyoncé,"[""blues-r&b-soul"", ""hip_hop-rap""]"
"11f17301-5e50-48c6-ba63-f2456e83423e","50 Cent",Don't Push Me,Get Rich or Die Tryin’,"50 Cent","[""hip_hop-rap""]"
"11f6c998-8867-463e-8e00-e60a695a08f1",Taylor Swift,Long Live,Speak Now,Taylor Swift,"[""folk-classical-country-jazz"", ""opera-musical-theater-soundtrack-vocal-a_cappella"", ""pop""]"
"1242606c-0cdb-44c8-9d1d-c6343e557b0d",Lana Del Rey,Radio,Born to Die,Lana Del Rey,"[""pop"", ""opera-musical-theater-soundtrack-vocal-a_cappella""]"
"1259f61a-08dc-44cc-b85e-220363ccc4a6",Travis Scott,K-POP,UTOPIA,Travis Scott,"[""electronic-funk-disco-dance""]"
"128ca901-582f-4f04-8c96-ad80cc3e59b6",Travis Scott,LOOOVE,UTOPIA,Travis Scott,"[""hip_hop-rap"", ""electronic-funk-disco-dance""]"
"128e45d6-9d20-4195-b2d2-9052fe78c08a",Taylor Swift,epiphany,folklore,Taylor Swift,"[""pop"", ""folk-classical-country-jazz"", ""opera-musical-theater-soundtrack-vocal-a_cappella""]"
"1293e3be-4da1-4590-a7a8-5dbecaf5b076",One Direction,Infinity,Made in the A.M.,One Direction,"[""others""]"
"199da456-4ea9-4f25-becf-651457f924b8",Camila Cabello,Living Proof,Romance,Camila Cabello,"[""pop"", ""blues-r&b-soul""]"
"12ae89f9-13c2-4e6a-aa2d-29ef9f10f174",Chris Stapleton,Broken Halos,From A Room: Volume 1,Chris Stapleton,"[""folk-classical-country-jazz"", ""rock-metal-psychedelic""]"
"133f5147-7727-4005-95e7-4154bcfbfde1",Kanye West,Roses,Late Registration,Ye,"[""hip_hop-rap"", ""blues-r&b-soul""]"
"1374c09f-6ab9-405d-a68e-d255b23dfc4d",Chris Stapleton,"Last Thing I Needed, First Thing This Morning",From A Room: Volume 1,Chris Stapleton,"[""others""]"
"13bb099a-863c-4588-bac2-175b5b41b0db",Peter Cat Recording Co.,Floated By,Bismillah,Peter Cat Recording Co.,"[""others""]"
"13fd4b2b-9d5d-4df1-ab8a-e8f3aaf8c4c0",SZA,Supermodel,Ctrl,SZA,"[""blues-r&b-soul"", ""rock-metal-psychedelic""]"
"141c8038-ebe2-4aa3-88af-effc8621c7f9",Luke Bryan,That's My Kind of Night,Crash My Party,Luke Bryan,"[""folk-classical-country-jazz""]"
"14640d28-2663-45b8-bb56-9d1d819d015e",Justin Bieber,Been You,Purpose,Justin Bieber,"[""pop"", ""electronic-funk-disco-dance""]"
"14b4b42e-468b-46b6-8198-b56a7b19b85a",Justin Bieber,Come Around Me,Changes,Justin Bieber,"[""hip_hop-rap"", ""blues-r&b-soul""]"
